,Zip_Code,Date,Year,Year_Integer,Month,Median Market Value (Single Family),Median Price 1 Bedroom,Median Price 2 Bedroom,Median Price 3 Bedroom,Median Price 4 Bedroom,Median Price 5 Bedroom,Median List Price per SqFt Calculated,Median List Price Calculated,Zip_Code_Integer
2756,46227,1997-02-28,1997,1,2,86600.0,70200.0,75100.0,87800.0,123100.0,,71.42474249303346,69030.46334380511,3
2768,46227,1998-02-28,1998,2,2,91600.0,67300.0,73600.0,92800.0,125800.0,,74.19987969800512,73874.09981459129,3
2780,46227,1999-02-28,1999,3,2,101100.0,67600.0,77000.0,101500.0,126000.0,,78.69014023087722,88085.78350640064,3
2792,46227,2000-02-29,2000,4,2,85081.0,54144.0,66566.0,87379.0,120500.0,,70.45784144823729,63669.990427410674,3
2804,46227,2001-02-28,2001,5,2,93984.0,48712.0,71255.0,95497.0,118121.0,141957.0,74.57205527890585,77357.40514916621,3
2816,46227,2002-02-28,2002,6,2,97126.0,52551.0,75011.0,98717.0,118264.0,141183.0,76.22788165378644,80322.4754179449,3
2828,46227,2003-02-28,2003,7,2,97345.0,51478.0,73155.0,99343.0,118783.0,141980.0,76.45897405716852,78705.65205632569,3
2840,46227,2004-02-29,2004,8,2,99767.0,55525.0,73299.0,101792.0,119299.0,144953.0,77.54868990603339,81583.19535204227,3
2852,46227,2005-02-28,2005,9,2,105419.0,58672.0,76513.0,106626.0,124961.0,152799.0,79.4282352056115,93319.91522294613,3
2864,46227,2006-02-28,2006,10,2,112222.0,60379.0,78206.0,112868.0,133565.0,158578.0,82.49871089571583,103813.02250947396,3
2876,46227,2007-02-28,2007,11,2,114579.0,60983.0,81251.0,114956.0,136352.0,162747.0,83.06247327692631,108980.231623302,3
2888,46227,2008-02-29,2008,12,2,113697.0,63751.0,83361.0,114208.0,133161.0,159591.0,82.11010425116152,108767.1792088916,3
2900,46227,2009-02-28,2009,13,2,108334.0,57862.0,79631.0,108824.0,128690.0,159120.0,77.89913039434536,106728.88547065083,3
2912,46227,2010-02-28,2010,14,2,113300.0,63042.0,83465.0,113338.0,134451.0,162016.0,79.7026650446803,115000.0,3
2924,46227,2011-02-28,2011,15,2,106482.0,61449.0,76481.0,106971.0,126597.0,153175.0,76.1396026972845,108700.0,3
2936,46227,2012-02-29,2012,16,2,103605.0,54772.0,73975.0,103923.0,123206.0,145293.0,72.7915135043537,109900.0,3
2948,46227,2013-02-28,2013,17,2,106083.0,49682.0,70881.0,107212.0,128743.0,150398.0,76.53061224489801,109888.0,3
2960,46227,2014-02-28,2014,18,2,115206.0,59770.0,78036.0,116165.0,136882.0,158568.0,79.7202797202797,110000.0,3
2972,46227,2015-02-28,2015,19,2,118502.0,65477.0,82576.0,119243.0,138929.0,164955.0,81.943645773433,119200.0,3
2984,46227,2016-02-29,2016,20,2,122314.0,65598.0,83313.0,123429.0,143843.0,166094.0,82.5,120000.0,3
2996,46227,2017-02-28,2017,21,2,128112.0,70362.0,89036.0,128911.0,149958.0,172768.0,87.7145085803432,129900.0,3
3008,46227,2018-02-28,2018,22,2,139410.0,75274.0,96772.0,140535.0,161493.0,184047.0,102.368211682579,136100.0,3
3020,46227,2019-02-28,2019,23,2,154350.0,89682.0,110625.0,155301.0,177171.0,200519.0,104.166666666667,150000.0,3
3032,46227,2020-02-29,2020,24,2,161466.0,92532.0,117353.0,162399.0,184999.0,208877.0,107.89440893229215,155245.60576535837,3
