,Date,Integer_Year,Median Bedroom Price,Median List Price Calculated,Median List Price per SqFt Calculated,Median Market Value (Single Family),Month,No. of Bedrooms,Year,Zip_Code,Unnamed: 0,Unnamed: 0.1
0,1/31/1997,2,112900,125900.7765,70.8443776,126400,1,1,1997,46220,,
1,1/31/1998,3,118000,141319.0351,66.74227881,151900,1,1,1998,46220,,
2,1/31/1999,4,122400,141325.6325,71.36227618,150600,1,1,1999,46220,,
3,1/31/2000,5,97772,128316.9229,45.60135127,154967,1,1,2000,46220,,
4,1/31/2001,6,96466,132249.9103,54.57331125,155566,1,1,2001,46220,,
5,1/31/2002,7,100138,137066.0456,63.09180334,157666,1,1,2002,46220,,
6,1/31/2003,8,105618,143703.5857,72.02176746,161852,1,1,2003,46220,,
7,1/31/2004,9,108189,150959.0946,79.68781703,167798,1,1,2004,46220,,
8,1/31/2005,10,110849,157637.0733,87.92708113,172555,1,1,2005,46220,,
9,1/31/2006,11,115648,158447.69,93.91690237,171285,1,1,2006,46220,,
10,1/31/2007,12,117072,160871.0049,98.15691532,173447,1,1,2007,46220,,
11,1/31/2008,13,117651,168688.756,107.3930612,178955,1,1,2008,46220,,
12,1/31/2009,14,115945,162833.1399,109.2817996,171996,1,1,2009,46220,,
13,1/31/2010,15,120028,174900,116.9732441,180230,1,1,2010,46220,,
14,1/31/2011,16,109523,169900,121.0585586,171241,1,1,2011,46220,,
15,1/31/2012,17,108035,159900,114.5740158,168633,1,1,2012,46220,,
16,1/31/2013,18,107239,169900,128.6424871,174381,1,1,2013,46220,,
17,1/31/2014,19,125526,164900,124.7838617,190345,1,1,2014,46220,,
18,1/31/2015,20,130720,179900,129.5781732,194772,1,1,2015,46220,,
19,1/31/2016,21,129632,195000,139.7058824,195857,1,1,2016,46220,,
20,1/31/2017,22,140276,199000,153.1808036,206856,1,1,2017,46220,,
21,1/31/2018,23,148395,249950,165.0488547,220147,1,1,2018,46220,,
22,1/31/2019,24,171827,239900,176.4785687,242754,1,1,2019,46220,,
24,1/31/1997,2,116300,125900.7765,70.8443776,126400,1,2,1997,46220,,
25,1/31/1998,3,128600,141319.0351,66.74227881,151900,1,2,1998,46220,,
26,1/31/1999,4,135500,141325.6325,71.36227618,150600,1,2,1999,46220,,
27,1/31/2000,5,123239,128316.9229,45.60135127,154967,1,2,2000,46220,,
28,1/31/2001,6,131068,132249.9103,54.57331125,155566,1,2,2001,46220,,
29,1/31/2002,7,133116,137066.0456,63.09180334,157666,1,2,2002,46220,,
30,1/31/2003,8,138589,143703.5857,72.02176746,161852,1,2,2003,46220,,
31,1/31/2004,9,142203,150959.0946,79.68781703,167798,1,2,2004,46220,,
32,1/31/2005,10,146371,157637.0733,87.92708113,172555,1,2,2005,46220,,
33,1/31/2006,11,150517,158447.69,93.91690237,171285,1,2,2006,46220,,
34,1/31/2007,12,151164,160871.0049,98.15691532,173447,1,2,2007,46220,,
35,1/31/2008,13,153776,168688.756,107.3930612,178955,1,2,2008,46220,,
36,1/31/2009,14,148693,162833.1399,109.2817996,171996,1,2,2009,46220,,
37,1/31/2010,15,156472,174900,116.9732441,180230,1,2,2010,46220,,
38,1/31/2011,16,149554,169900,121.0585586,171241,1,2,2011,46220,,
39,1/31/2012,17,145686,159900,114.5740158,168633,1,2,2012,46220,,
40,1/31/2013,18,150360,169900,128.6424871,174381,1,2,2013,46220,,
41,1/31/2014,19,165280,164900,124.7838617,190345,1,2,2014,46220,,
42,1/31/2015,20,167324,179900,129.5781732,194772,1,2,2015,46220,,
43,1/31/2016,21,168624,195000,139.7058824,195857,1,2,2016,46220,,
44,1/31/2017,22,179537,199000,153.1808036,206856,1,2,2017,46220,,
45,1/31/2018,23,190877,249950,165.0488547,220147,1,2,2018,46220,,
46,1/31/2019,24,211965,239900,176.4785687,242754,1,2,2019,46220,,
48,1/31/1997,2,129200,125900.7765,70.8443776,126400,1,3,1997,46220,,
49,1/31/1998,3,151400,141319.0351,66.74227881,151900,1,3,1998,46220,,
50,1/31/1999,4,150300,141325.6325,71.36227618,150600,1,3,1999,46220,,
51,1/31/2000,5,150033,128316.9229,45.60135127,154967,1,3,2000,46220,,
52,1/31/2001,6,151297,132249.9103,54.57331125,155566,1,3,2001,46220,,
53,1/31/2002,7,153871,137066.0456,63.09180334,157666,1,3,2002,46220,,
54,1/31/2003,8,158415,143703.5857,72.02176746,161852,1,3,2003,46220,,
55,1/31/2004,9,164390,150959.0946,79.68781703,167798,1,3,2004,46220,,
56,1/31/2005,10,169358,157637.0733,87.92708113,172555,1,3,2005,46220,,
57,1/31/2006,11,168482,158447.69,93.91690237,171285,1,3,2006,46220,,
58,1/31/2007,12,170499,160871.0049,98.15691532,173447,1,3,2007,46220,,
59,1/31/2008,13,176298,168688.756,107.3930612,178955,1,3,2008,46220,,
60,1/31/2009,14,169622,162833.1399,109.2817996,171996,1,3,2009,46220,,
61,1/31/2010,15,177431,174900,116.9732441,180230,1,3,2010,46220,,
62,1/31/2011,16,169190,169900,121.0585586,171241,1,3,2011,46220,,
63,1/31/2012,17,166186,159900,114.5740158,168633,1,3,2012,46220,,
64,1/31/2013,18,171495,169900,128.6424871,174381,1,3,2013,46220,,
65,1/31/2014,19,186571,164900,124.7838617,190345,1,3,2014,46220,,
66,1/31/2015,20,189955,179900,129.5781732,194772,1,3,2015,46220,,
67,1/31/2016,21,191544,195000,139.7058824,195857,1,3,2016,46220,,
68,1/31/2017,22,203287,199000,153.1808036,206856,1,3,2017,46220,,
69,1/31/2018,23,215745,249950,165.0488547,220147,1,3,2018,46220,,
70,1/31/2019,24,238347,239900,176.4785687,242754,1,3,2019,46220,,
72,1/31/1997,2,169400,125900.7765,70.8443776,126400,1,4,1997,46220,,
73,1/31/1998,3,183600,141319.0351,66.74227881,151900,1,4,1998,46220,,
74,1/31/1999,4,196000,141325.6325,71.36227618,150600,1,4,1999,46220,,
75,1/31/2000,5,214475,128316.9229,45.60135127,154967,1,4,2000,46220,,
76,1/31/2001,6,225061,132249.9103,54.57331125,155566,1,4,2001,46220,,
77,1/31/2002,7,224727,137066.0456,63.09180334,157666,1,4,2002,46220,,
78,1/31/2003,8,226501,143703.5857,72.02176746,161852,1,4,2003,46220,,
79,1/31/2004,9,235558,150959.0946,79.68781703,167798,1,4,2004,46220,,
80,1/31/2005,10,244713,157637.0733,87.92708113,172555,1,4,2005,46220,,
81,1/31/2006,11,245555,158447.69,93.91690237,171285,1,4,2006,46220,,
82,1/31/2007,12,252311,160871.0049,98.15691532,173447,1,4,2007,46220,,
83,1/31/2008,13,256529,168688.756,107.3930612,178955,1,4,2008,46220,,
84,1/31/2009,14,247280,162833.1399,109.2817996,171996,1,4,2009,46220,,
85,1/31/2010,15,254893,174900,116.9732441,180230,1,4,2010,46220,,
86,1/31/2011,16,239697,169900,121.0585586,171241,1,4,2011,46220,,
87,1/31/2012,17,234245,159900,114.5740158,168633,1,4,2012,46220,,
88,1/31/2013,18,243811,169900,128.6424871,174381,1,4,2013,46220,,
89,1/31/2014,19,267301,164900,124.7838617,190345,1,4,2014,46220,,
90,1/31/2015,20,283035,179900,129.5781732,194772,1,4,2015,46220,,
91,1/31/2016,21,284395,195000,139.7058824,195857,1,4,2016,46220,,
92,1/31/2017,22,293150,199000,153.1808036,206856,1,4,2017,46220,,
93,1/31/2018,23,308852,249950,165.0488547,220147,1,4,2018,46220,,
94,1/31/2019,24,330948,239900,176.4785687,242754,1,4,2019,46220,,
96,1/31/1997,2,251300,125900.7765,70.8443776,126400,1,5,1997,46220,,
97,1/31/1998,3,281300,141319.0351,66.74227881,151900,1,5,1998,46220,,
98,1/31/1999,4,292300,141325.6325,71.36227618,150600,1,5,1999,46220,,
99,1/31/2000,5,258767,128316.9229,45.60135127,154967,1,5,2000,46220,,
100,1/31/2001,6,282407,132249.9103,54.57331125,155566,1,5,2001,46220,,
101,1/31/2002,7,278651,137066.0456,63.09180334,157666,1,5,2002,46220,,
102,1/31/2003,8,279056,143703.5857,72.02176746,161852,1,5,2003,46220,,
103,1/31/2004,9,303457,150959.0946,79.68781703,167798,1,5,2004,46220,,
104,1/31/2005,10,316583,157637.0733,87.92708113,172555,1,5,2005,46220,,
105,1/31/2006,11,328897,158447.69,93.91690237,171285,1,5,2006,46220,,
106,1/31/2007,12,348092,160871.0049,98.15691532,173447,1,5,2007,46220,,
107,1/31/2008,13,351198,168688.756,107.3930612,178955,1,5,2008,46220,,
108,1/31/2009,14,332875,162833.1399,109.2817996,171996,1,5,2009,46220,,
109,1/31/2010,15,356349,174900,116.9732441,180230,1,5,2010,46220,,
110,1/31/2011,16,335606,169900,121.0585586,171241,1,5,2011,46220,,
111,1/31/2012,17,329328,159900,114.5740158,168633,1,5,2012,46220,,
112,1/31/2013,18,347394,169900,128.6424871,174381,1,5,2013,46220,,
113,1/31/2014,19,381471,164900,124.7838617,190345,1,5,2014,46220,,
114,1/31/2015,20,406425,179900,129.5781732,194772,1,5,2015,46220,,
115,1/31/2016,21,399398,195000,139.7058824,195857,1,5,2016,46220,,
116,1/31/2017,22,408212,199000,153.1808036,206856,1,5,2017,46220,,
117,1/31/2018,23,437883,249950,165.0488547,220147,1,5,2018,46220,,
118,1/31/2019,24,466430,239900,176.4785687,242754,1,5,2019,46220,,
120,1/31/2000,5,59871,94404.12871,51.52221827,77085,1,1,2000,46219,,
121,1/31/2001,6,56400,95228.20273,62.07665277,75627,1,1,2001,46219,,
122,1/31/2002,7,58844,97484.66201,66.15716264,78869,1,1,2002,46219,,
123,1/31/2003,8,58209,96124.27192,65.84468754,78983,1,1,2003,46219,,
124,1/31/2004,9,56035,96590.14569,66.93742699,81019,1,1,2004,46219,,
125,1/31/2005,10,56957,97553.48601,69.96147132,82926,1,1,2005,46219,,
126,1/31/2006,11,63307,101559.0582,73.85911536,88653,1,1,2006,46219,,
127,1/31/2007,12,59884,101187.0348,76.36975332,88938,1,1,2007,46219,,
128,1/31/2008,13,58073,98395.15439,75.23932738,87426,1,1,2008,46219,,
129,1/31/2009,14,57063,90950.60943,65.35666958,83197,1,1,2009,46219,,
130,1/31/2010,15,53887,88200,63.16091954,83009,1,1,2010,46219,,
131,1/31/2011,16,49741,84958.5,65.68991228,78837,1,1,2011,46219,,
132,1/31/2012,17,42136,75000,60.06938422,71432,1,1,2012,46219,,
133,1/31/2013,18,42994,79250,63.00578035,73542,1,1,2013,46219,,
134,1/31/2014,19,46478,84500,62.60717785,79289,1,1,2014,46219,,
135,1/31/2015,20,50324,85000,64.7702407,84284,1,1,2015,46219,,
136,1/31/2016,21,50760,79999.5,63.60581704,86443,1,1,2016,46219,,
137,1/31/2017,22,55647,87950,68.46915461,93145,1,1,2017,46219,,
138,1/31/2018,23,61082,99800,77.32864675,102850,1,1,2018,46219,,
139,1/31/2019,24,73409,109900,88.13151564,117292,1,1,2019,46219,,
141,1/31/1997,2,78600,113452.0762,85.7946103,83300,1,2,1997,46219,,
142,1/31/1998,3,75800,108862.3313,81.84722549,80500,1,2,1998,46219,,
143,1/31/1999,4,83500,112799.7732,77.51794812,89600,1,2,1999,46219,,
144,1/31/2000,5,76201,94404.12871,51.52221827,77085,1,2,2000,46219,,
145,1/31/2001,6,72142,95228.20273,62.07665277,75627,1,2,2001,46219,,
146,1/31/2002,7,75438,97484.66201,66.15716264,78869,1,2,2002,46219,,
147,1/31/2003,8,74959,96124.27192,65.84468754,78983,1,2,2003,46219,,
148,1/31/2004,9,75514,96590.14569,66.93742699,81019,1,2,2004,46219,,
149,1/31/2005,10,75794,97553.48601,69.96147132,82926,1,2,2005,46219,,
150,1/31/2006,11,81252,101559.0582,73.85911536,88653,1,2,2006,46219,,
151,1/31/2007,12,80280,101187.0348,76.36975332,88938,1,2,2007,46219,,
152,1/31/2008,13,79416,98395.15439,75.23932738,87426,1,2,2008,46219,,
153,1/31/2009,14,75180,90950.60943,65.35666958,83197,1,2,2009,46219,,
154,1/31/2010,15,72916,88200,63.16091954,83009,1,2,2010,46219,,
155,1/31/2011,16,66142,84958.5,65.68991228,78837,1,2,2011,46219,,
156,1/31/2012,17,57167,75000,60.06938422,71432,1,2,2012,46219,,
157,1/31/2013,18,57475,79250,63.00578035,73542,1,2,2013,46219,,
158,1/31/2014,19,63760,84500,62.60717785,79289,1,2,2014,46219,,
159,1/31/2015,20,67146,85000,64.7702407,84284,1,2,2015,46219,,
160,1/31/2016,21,68650,79999.5,63.60581704,86443,1,2,2016,46219,,
161,1/31/2017,22,73682,87950,68.46915461,93145,1,2,2017,46219,,
162,1/31/2018,23,80364,99800,77.32864675,102850,1,2,2018,46219,,
163,1/31/2019,24,93069,109900,88.13151564,117292,1,2,2019,46219,,
165,1/31/1997,2,86400,113452.0762,85.7946103,83300,1,3,1997,46219,,
166,1/31/1998,3,83500,108862.3313,81.84722549,80500,1,3,1998,46219,,
167,1/31/1999,4,91400,112799.7732,77.51794812,89600,1,3,1999,46219,,
168,1/31/2000,5,77234,94404.12871,51.52221827,77085,1,3,2000,46219,,
169,1/31/2001,6,77145,95228.20273,62.07665277,75627,1,3,2001,46219,,
170,1/31/2002,7,80629,97484.66201,66.15716264,78869,1,3,2002,46219,,
171,1/31/2003,8,80782,96124.27192,65.84468754,78983,1,3,2003,46219,,
172,1/31/2004,9,82840,96590.14569,66.93742699,81019,1,3,2004,46219,,
173,1/31/2005,10,84992,97553.48601,69.96147132,82926,1,3,2005,46219,,
174,1/31/2006,11,90720,101559.0582,73.85911536,88653,1,3,2006,46219,,
175,1/31/2007,12,91338,101187.0348,76.36975332,88938,1,3,2007,46219,,
176,1/31/2008,13,89920,98395.15439,75.23932738,87426,1,3,2008,46219,,
177,1/31/2009,14,85068,90950.60943,65.35666958,83197,1,3,2009,46219,,
178,1/31/2010,15,84775,88200,63.16091954,83009,1,3,2010,46219,,
179,1/31/2011,16,81438,84958.5,65.68991228,78837,1,3,2011,46219,,
180,1/31/2012,17,74087,75000,60.06938422,71432,1,3,2012,46219,,
181,1/31/2013,18,76268,79250,63.00578035,73542,1,3,2013,46219,,
182,1/31/2014,19,81434,84500,62.60717785,79289,1,3,2014,46219,,
183,1/31/2015,20,86662,85000,64.7702407,84284,1,3,2015,46219,,
184,1/31/2016,21,88658,79999.5,63.60581704,86443,1,3,2016,46219,,
185,1/31/2017,22,95096,87950,68.46915461,93145,1,3,2017,46219,,
186,1/31/2018,23,105021,99800,77.32864675,102850,1,3,2018,46219,,
187,1/31/2019,24,119428,109900,88.13151564,117292,1,3,2019,46219,,
189,1/31/1997,2,116300,113452.0762,85.7946103,83300,1,4,1997,46219,,
190,1/31/1998,3,114700,108862.3313,81.84722549,80500,1,4,1998,46219,,
191,1/31/1999,4,113800,112799.7732,77.51794812,89600,1,4,1999,46219,,
192,1/31/2000,5,92556,94404.12871,51.52221827,77085,1,4,2000,46219,,
193,1/31/2001,6,92463,95228.20273,62.07665277,75627,1,4,2001,46219,,
194,1/31/2002,7,98171,97484.66201,66.15716264,78869,1,4,2002,46219,,
195,1/31/2003,8,98003,96124.27192,65.84468754,78983,1,4,2003,46219,,
196,1/31/2004,9,101162,96590.14569,66.93742699,81019,1,4,2004,46219,,
197,1/31/2005,10,104080,97553.48601,69.96147132,82926,1,4,2005,46219,,
198,1/31/2006,11,112964,101559.0582,73.85911536,88653,1,4,2006,46219,,
199,1/31/2007,12,117101,101187.0348,76.36975332,88938,1,4,2007,46219,,
200,1/31/2008,13,116420,98395.15439,75.23932738,87426,1,4,2008,46219,,
201,1/31/2009,14,111419,90950.60943,65.35666958,83197,1,4,2009,46219,,
202,1/31/2010,15,110551,88200,63.16091954,83009,1,4,2010,46219,,
203,1/31/2011,16,109081,84958.5,65.68991228,78837,1,4,2011,46219,,
204,1/31/2012,17,98771,75000,60.06938422,71432,1,4,2012,46219,,
205,1/31/2013,18,104603,79250,63.00578035,73542,1,4,2013,46219,,
206,1/31/2014,19,111574,84500,62.60717785,79289,1,4,2014,46219,,
207,1/31/2015,20,115641,85000,64.7702407,84284,1,4,2015,46219,,
208,1/31/2016,21,118528,79999.5,63.60581704,86443,1,4,2016,46219,,
209,1/31/2017,22,126142,87950,68.46915461,93145,1,4,2017,46219,,
210,1/31/2018,23,136240,99800,77.32864675,102850,1,4,2018,46219,,
211,1/31/2019,24,151986,109900,88.13151564,117292,1,4,2019,46219,,
213,1/31/2001,6,112306,95228.20273,62.07665277,75627,1,5,2001,46219,,
214,1/31/2002,7,113295,97484.66201,66.15716264,78869,1,5,2002,46219,,
215,1/31/2003,8,113436,96124.27192,65.84468754,78983,1,5,2003,46219,,
216,1/31/2004,9,115257,96590.14569,66.93742699,81019,1,5,2004,46219,,
217,1/31/2005,10,117652,97553.48601,69.96147132,82926,1,5,2005,46219,,
218,1/31/2006,11,123883,101559.0582,73.85911536,88653,1,5,2006,46219,,
219,1/31/2007,12,125661,101187.0348,76.36975332,88938,1,5,2007,46219,,
220,1/31/2008,13,124067,98395.15439,75.23932738,87426,1,5,2008,46219,,
221,1/31/2009,14,118611,90950.60943,65.35666958,83197,1,5,2009,46219,,
222,1/31/2010,15,123076,88200,63.16091954,83009,1,5,2010,46219,,
223,1/31/2011,16,119920,84958.5,65.68991228,78837,1,5,2011,46219,,
224,1/31/2012,17,112685,75000,60.06938422,71432,1,5,2012,46219,,
225,1/31/2013,18,120741,79250,63.00578035,73542,1,5,2013,46219,,
226,1/31/2014,19,129052,84500,62.60717785,79289,1,5,2014,46219,,
227,1/31/2015,20,136319,85000,64.7702407,84284,1,5,2015,46219,,
228,1/31/2016,21,136896,79999.5,63.60581704,86443,1,5,2016,46219,,
229,1/31/2017,22,147946,87950,68.46915461,93145,1,5,2017,46219,,
230,1/31/2018,23,160076,99800,77.32864675,102850,1,5,2018,46219,,
231,1/31/2019,24,176286,109900,88.13151564,117292,1,5,2019,46219,,
233,1/31/1997,2,71000,103940.4035,84.30609563,86800,1,1,1997,46227,,
234,1/31/1998,3,67400,107682.4409,85.59221602,90900,1,1,1998,46227,,
235,1/31/1999,4,67900,123035.3543,87.77550179,102000,1,1,1999,46227,,
236,1/31/2000,5,54256,91807.00308,82.66738913,83335,1,1,2000,46227,,
237,1/31/2001,6,48873,106101.9015,84.53812502,93692,1,1,2001,46227,,
238,1/31/2002,7,52501,108079.3233,86.08709413,96910,1,1,2002,46227,,
239,1/31/2003,8,51696,105242.6297,86.94874539,97082,1,1,2003,46227,,
240,1/31/2004,9,55666,107572.301,87.41119953,100005,1,1,2004,46227,,
241,1/31/2005,10,57485,112311.787,87.60363059,104173,1,1,2005,46227,,
242,1/31/2006,11,60551,123976.2644,87.56294411,112166,1,1,2006,46227,,
243,1/31/2007,12,60756,125441.361,87.42789257,114326,1,1,2007,46227,,
244,1/31/2008,13,63590,123113.7756,86.04170397,113763,1,1,2008,46227,,
245,1/31/2009,14,59002,116898.6275,81.29235979,109461,1,1,2009,46227,,
246,1/31/2010,15,61266,119000,79.72405519,112697,1,1,2010,46227,,
247,1/31/2011,16,62560,109900,76.33587786,106563,1,1,2011,46227,,
248,1/31/2012,17,55607,109900,73.21541377,104034,1,1,2012,46227,,
249,1/31/2013,18,49412,109900,76.8433947,105703,1,1,2013,46227,,
250,1/31/2014,19,58751,109999,79.44198944,113788,1,1,2014,46227,,
251,1/31/2015,20,65326,119900,80.01373626,118953,1,1,2015,46227,,
252,1/31/2016,21,65249,115000,81.6535963,121517,1,1,2016,46227,,
253,1/31/2017,22,70012,125450,84.84061412,127447,1,1,2017,46227,,
254,1/31/2018,23,75173,140999.5,101.081866,139015,1,1,2018,46227,,
255,1/31/2019,24,88766,155000,104.1666667,153528,1,1,2019,46227,,
257,1/31/1997,2,75900,103940.4035,84.30609563,86800,1,2,1997,46227,,
258,1/31/1998,3,73300,107682.4409,85.59221602,90900,1,2,1998,46227,,
259,1/31/1999,4,77100,123035.3543,87.77550179,102000,1,2,1999,46227,,
260,1/31/2000,5,66183,91807.00308,82.66738913,83335,1,2,2000,46227,,
261,1/31/2001,6,72012,106101.9015,84.53812502,93692,1,2,2001,46227,,
262,1/31/2002,7,74799,108079.3233,86.08709413,96910,1,2,2002,46227,,
263,1/31/2003,8,72949,105242.6297,86.94874539,97082,1,2,2003,46227,,
264,1/31/2004,9,73918,107572.301,87.41119953,100005,1,2,2004,46227,,
265,1/31/2005,10,75554,112311.787,87.60363059,104173,1,2,2005,46227,,
266,1/31/2006,11,78276,123976.2644,87.56294411,112166,1,2,2006,46227,,
267,1/31/2007,12,80858,125441.361,87.42789257,114326,1,2,2007,46227,,
268,1/31/2008,13,83128,123113.7756,86.04170397,113763,1,2,2008,46227,,
269,1/31/2009,14,80907,116898.6275,81.29235979,109461,1,2,2009,46227,,
270,1/31/2010,15,82630,119000,79.72405519,112697,1,2,2010,46227,,
271,1/31/2011,16,76695,109900,76.33587786,106563,1,2,2011,46227,,
272,1/31/2012,17,74600,109900,73.21541377,104034,1,2,2012,46227,,
273,1/31/2013,18,70944,109900,76.8433947,105703,1,2,2013,46227,,
274,1/31/2014,19,76894,109999,79.44198944,113788,1,2,2014,46227,,
275,1/31/2015,20,82616,119900,80.01373626,118953,1,2,2015,46227,,
276,1/31/2016,21,82765,115000,81.6535963,121517,1,2,2016,46227,,
277,1/31/2017,22,88654,125450,84.84061412,127447,1,2,2017,46227,,
278,1/31/2018,23,96595,140999.5,101.081866,139015,1,2,2018,46227,,
279,1/31/2019,24,109605,155000,104.1666667,153528,1,2,2019,46227,,
281,1/31/1997,2,88100,103940.4035,84.30609563,86800,1,3,1997,46227,,
282,1/31/1998,3,92100,107682.4409,85.59221602,90900,1,3,1998,46227,,
283,1/31/1999,4,102100,123035.3543,87.77550179,102000,1,3,1999,46227,,
284,1/31/2000,5,85801,91807.00308,82.66738913,83335,1,3,2000,46227,,
285,1/31/2001,6,95115,106101.9015,84.53812502,93692,1,3,2001,46227,,
286,1/31/2002,7,98444,108079.3233,86.08709413,96910,1,3,2002,46227,,
287,1/31/2003,8,99095,105242.6297,86.94874539,97082,1,3,2003,46227,,
288,1/31/2004,9,101934,107572.301,87.41119953,100005,1,3,2004,46227,,
289,1/31/2005,10,105743,112311.787,87.60363059,104173,1,3,2005,46227,,
290,1/31/2006,11,112667,123976.2644,87.56294411,112166,1,3,2006,46227,,
291,1/31/2007,12,114739,125441.361,87.42789257,114326,1,3,2007,46227,,
292,1/31/2008,13,114273,123113.7756,86.04170397,113763,1,3,2008,46227,,
293,1/31/2009,14,109950,116898.6275,81.29235979,109461,1,3,2009,46227,,
294,1/31/2010,15,112769,119000,79.72405519,112697,1,3,2010,46227,,
295,1/31/2011,16,107002,109900,76.33587786,106563,1,3,2011,46227,,
296,1/31/2012,17,104337,109900,73.21541377,104034,1,3,2012,46227,,
297,1/31/2013,18,106793,109900,76.8433947,105703,1,3,2013,46227,,
298,1/31/2014,19,114758,109999,79.44198944,113788,1,3,2014,46227,,
299,1/31/2015,20,119713,119900,80.01373626,118953,1,3,2015,46227,,
300,1/31/2016,21,122635,115000,81.6535963,121517,1,3,2016,46227,,
301,1/31/2017,22,128224,125450,84.84061412,127447,1,3,2017,46227,,
302,1/31/2018,23,140089,140999.5,101.081866,139015,1,3,2018,46227,,
303,1/31/2019,24,154537,155000,104.1666667,153528,1,3,2019,46227,,
305,1/31/1997,2,123600,103940.4035,84.30609563,86800,1,4,1997,46227,,
306,1/31/1998,3,125400,107682.4409,85.59221602,90900,1,4,1998,46227,,
307,1/31/1999,4,126600,123035.3543,87.77550179,102000,1,4,1999,46227,,
308,1/31/2000,5,120600,91807.00308,82.66738913,83335,1,4,2000,46227,,
309,1/31/2001,6,117816,106101.9015,84.53812502,93692,1,4,2001,46227,,
310,1/31/2002,7,118062,108079.3233,86.08709413,96910,1,4,2002,46227,,
311,1/31/2003,8,118328,105242.6297,86.94874539,97082,1,4,2003,46227,,
312,1/31/2004,9,119721,107572.301,87.41119953,100005,1,4,2004,46227,,
313,1/31/2005,10,123084,112311.787,87.60363059,104173,1,4,2005,46227,,
314,1/31/2006,11,134001,123976.2644,87.56294411,112166,1,4,2006,46227,,
315,1/31/2007,12,136145,125441.361,87.42789257,114326,1,4,2007,46227,,
316,1/31/2008,13,133259,123113.7756,86.04170397,113763,1,4,2008,46227,,
317,1/31/2009,14,129689,116898.6275,81.29235979,109461,1,4,2009,46227,,
318,1/31/2010,15,133628,119000,79.72405519,112697,1,4,2010,46227,,
319,1/31/2011,16,127082,109900,76.33587786,106563,1,4,2011,46227,,
320,1/31/2012,17,123885,109900,73.21541377,104034,1,4,2012,46227,,
321,1/31/2013,18,127913,109900,76.8433947,105703,1,4,2013,46227,,
322,1/31/2014,19,135009,109999,79.44198944,113788,1,4,2014,46227,,
323,1/31/2015,20,139873,119900,80.01373626,118953,1,4,2015,46227,,
324,1/31/2016,21,142988,115000,81.6535963,121517,1,4,2016,46227,,
325,1/31/2017,22,149146,125450,84.84061412,127447,1,4,2017,46227,,
326,1/31/2018,23,161168,140999.5,101.081866,139015,1,4,2018,46227,,
327,1/31/2019,24,176379,155000,104.1666667,153528,1,4,2019,46227,,
329,1/31/2001,6,141362,106101.9015,84.53812502,93692,1,5,2001,46227,,
330,1/31/2002,7,141776,108079.3233,86.08709413,96910,1,5,2002,46227,,
331,1/31/2003,8,141247,105242.6297,86.94874539,97082,1,5,2003,46227,,
332,1/31/2004,9,145577,107572.301,87.41119953,100005,1,5,2004,46227,,
333,1/31/2005,10,150467,112311.787,87.60363059,104173,1,5,2005,46227,,
334,1/31/2006,11,159356,123976.2644,87.56294411,112166,1,5,2006,46227,,
335,1/31/2007,12,162058,125441.361,87.42789257,114326,1,5,2007,46227,,
336,1/31/2008,13,160156,123113.7756,86.04170397,113763,1,5,2008,46227,,
337,1/31/2009,14,159755,116898.6275,81.29235979,109461,1,5,2009,46227,,
338,1/31/2010,15,161391,119000,79.72405519,112697,1,5,2010,46227,,
339,1/31/2011,16,153849,109900,76.33587786,106563,1,5,2011,46227,,
340,1/31/2012,17,146233,109900,73.21541377,104034,1,5,2012,46227,,
341,1/31/2013,18,149710,109900,76.8433947,105703,1,5,2013,46227,,
342,1/31/2014,19,156025,109999,79.44198944,113788,1,5,2014,46227,,
343,1/31/2015,20,166217,119900,80.01373626,118953,1,5,2015,46227,,
344,1/31/2016,21,165546,115000,81.6535963,121517,1,5,2016,46227,,
345,1/31/2017,22,171717,125450,84.84061412,127447,1,5,2017,46227,,
346,1/31/2018,23,183499,140999.5,101.081866,139015,1,5,2018,46227,,
347,1/31/2019,24,200061,155000,104.1666667,153528,1,5,2019,46227,,
349,1/31/2011,16,73251,117375,70.15007545,111398,1,1,2011,46214,,
350,1/31/2012,17,64233,119900,69.63636364,106406,1,1,2012,46214,,
351,1/31/2013,18,59527,114900,69.37512389,106269,1,1,2013,46214,,
352,1/31/2014,19,61900,114900,71.42038946,114451,1,1,2014,46214,,
353,1/31/2015,20,60266,115000,75.37379227,117962,1,1,2015,46214,,
354,1/31/2016,21,59306,115000,73.97959184,120851,1,1,2016,46214,,
355,1/31/2017,22,59224,129900,74.17582418,126048,1,1,2017,46214,,
356,1/31/2018,23,64961,135000,80.28389768,137297,1,1,2018,46214,,
357,1/31/2019,24,75330,155500,91.48766905,154453,1,1,2019,46214,,
359,1/31/1997,2,85800,115526.1885,77.27033696,99700,1,2,1997,46214,,
360,1/31/1998,3,83000,119242.9893,89.05549892,104400,1,2,1998,46214,,
361,1/31/1999,4,85100,117900.2229,81.59693667,103600,1,2,1999,46214,,
362,1/31/2000,5,90985,109644.2479,70.29502501,95285,1,2,2000,46214,,
363,1/31/2001,6,91963,118597.2407,74.86497285,105677,1,2,2001,46214,,
364,1/31/2002,7,92676,119992.1601,78.20448347,107853,1,2,2002,46214,,
365,1/31/2003,8,93397,122702.567,79.90427736,111459,1,2,2003,46214,,
