,Date,Year,Integer_Year,Month,Zip_Code,Zip_Code_Integer,Median Bedroom Price,Median Market Value (Single Family),Median List Price per SqFt Calculated,Median List Price Calculated,No. of Bedrooms
4,2001-02-28,2001,6,2,46219,2,112644.0,75694.0,62.97452029448482,98955.8210586266,5
5,2002-02-28,2002,7,2,46219,2,113733.0,79172.0,67.10535682556646,101962.48466180313,5
6,2003-02-28,2003,8,2,46219,2,113406.0,79035.0,67.33516623069755,100314.99658879817,5
7,2004-02-29,2004,9,2,46219,2,114721.0,80822.0,68.5548389655412,100599.85873232699,5
8,2005-02-28,2005,10,2,46219,2,119353.0,83853.0,70.39458336556885,102124.11982147745,5
9,2006-02-28,2006,11,2,46219,2,123829.0,88477.0,75.38356651917648,106416.41050007235,5
10,2007-02-28,2007,12,2,46219,2,125735.0,89147.0,78.67508795379563,106906.41511556519,5
11,2008-02-29,2008,13,2,46219,2,123993.0,87312.0,74.80871255649076,101937.72130411024,5
12,2009-02-28,2009,14,2,46219,2,117144.0,82153.0,65.28227323038718,91650.07467420057,5
13,2010-02-28,2010,15,2,46219,2,124093.0,83581.0,63.982950734711295,89900.0,5
14,2011-02-28,2011,16,2,46219,2,119530.0,78331.0,65.07795083782389,80000.0,5
15,2012-02-29,2012,17,2,46219,2,112301.0,70944.0,58.406432748537995,73500.0,5
16,2013-02-28,2013,18,2,46219,2,121413.0,73796.0,63.8286189005975,79900.0,5
17,2014-02-28,2014,19,2,46219,2,131451.0,80626.0,62.5,83000.0,5
18,2015-02-28,2015,20,2,46219,2,135202.0,83852.0,65.75621746674379,85000.0,5
19,2016-02-29,2016,21,2,46219,2,137671.0,87131.0,63.320825515947504,80000.0,5
20,2017-02-28,2017,22,2,46219,2,149325.0,93691.0,70.09963768115941,89500.0,5
21,2018-02-28,2018,23,2,46219,2,159492.0,102929.0,79.1666666666667,104900.0,5
22,2019-02-28,2019,24,2,46219,2,177552.0,118420.0,89.85245228968719,114900.0,5
23,2020-02-29,2020,25,2,46219,2,187055.0,123760.0,97.24319157479202,120464.85555475195,5
0,1997-02-28,1997,2,2,46219,2,115700.0,82100.0,88.57510340907947,123215.29912294915,4
1,1998-02-28,1998,3,2,46219,2,114800.0,81100.0,80.84171588622763,116930.87498671495,4
2,1999-02-28,1999,4,2,46219,2,113200.0,89300.0,84.64877878026961,123299.57548947814,4
3,2000-02-29,2000,5,2,46219,2,90641.0,76556.0,54.97069527510628,97246.47269269737,4
4,2001-02-28,2001,6,2,46219,2,93651.0,75694.0,62.97452029448482,98955.8210586266,4
5,2002-02-28,2002,7,2,46219,2,98862.0,79172.0,67.10535682556646,101962.48466180313,4
6,2003-02-28,2003,8,2,46219,2,97975.0,79035.0,67.33516623069755,100314.99658879817,4
7,2004-02-29,2004,9,2,46219,2,100848.0,80822.0,68.5548389655412,100599.85873232699,4
8,2005-02-28,2005,10,2,46219,2,105809.0,83853.0,70.39458336556885,102124.11982147745,4
9,2006-02-28,2006,11,2,46219,2,112890.0,88477.0,75.38356651917648,106416.41050007235,4
10,2007-02-28,2007,12,2,46219,2,117365.0,89147.0,78.67508795379563,106906.41511556519,4
11,2008-02-29,2008,13,2,46219,2,116425.0,87312.0,74.80871255649076,101937.72130411024,4
12,2009-02-28,2009,14,2,46219,2,109688.0,82153.0,65.28227323038718,91650.07467420057,4
13,2010-02-28,2010,15,2,46219,2,111766.0,83581.0,63.982950734711295,89900.0,4
14,2011-02-28,2011,16,2,46219,2,108581.0,78331.0,65.07795083782389,80000.0,4
15,2012-02-29,2012,17,2,46219,2,98070.0,70944.0,58.406432748537995,73500.0,4
16,2013-02-28,2013,18,2,46219,2,105382.0,73796.0,63.8286189005975,79900.0,4
17,2014-02-28,2014,19,2,46219,2,112978.0,80626.0,62.5,83000.0,4
18,2015-02-28,2015,20,2,46219,2,114700.0,83852.0,65.75621746674379,85000.0,4
19,2016-02-29,2016,21,2,46219,2,119625.0,87131.0,63.320825515947504,80000.0,4
20,2017-02-28,2017,22,2,46219,2,126914.0,93691.0,70.09963768115941,89500.0,4
