Date,Integer_Year,Median Bedroom Price,Month,No. of Bedrooms,Year,Zip_Code
4/28/2008,13,63140,4,1,2008,46227
4/28/2009,14,57740,4,1,2009,46227
4/28/2010,15,64419,4,1,2010,46227
4/28/2011,16,58922,4,1,2011,46227
4/28/2012,17,54566,4,1,2012,46227
4/28/2013,18,51383,4,1,2013,46227
4/28/2014,19,60144,4,1,2014,46227
4/28/2015,20,65680,4,1,2015,46227
4/28/2016,21,65577,4,1,2016,46227
4/28/2017,22,71889,4,1,2017,46227
4/28/2018,23,77865,4,1,2018,46227
4/28/2019,24,89535,4,1,2019,46227
4/28/1996,1,86500,4,2,1996,46227
4/28/1997,2,73900,4,2,1997,46227
4/28/1998,3,74400,4,2,1998,46227
4/28/1999,4,76800,4,2,1999,46227
4/28/2000,5,66598,4,2,2000,46227
4/28/2001,6,71181,4,2,2001,46227
4/28/2002,7,75358,4,2,2002,46227
4/28/2003,8,73568,4,2,2003,46227
4/28/2004,9,72610,4,2,2004,46227
4/28/2005,10,77202,4,2,2005,46227
4/28/2006,11,79136,4,2,2006,46227
4/28/2007,12,81359,4,2,2007,46227
4/28/2008,13,83086,4,2,2008,46227
4/28/2009,14,79018,4,2,2009,46227
4/28/2010,15,83891,4,2,2010,46227
4/28/2011,16,75214,4,2,2011,46227
4/28/2012,17,73579,4,2,2012,46227
4/28/2013,18,72097,4,2,2013,46227
4/28/2014,19,79132,4,2,2014,46227
4/28/2015,20,82427,4,2,2015,46227
4/28/2016,21,83315,4,2,2016,46227
4/28/2017,22,90938,4,2,2017,46227
4/28/2018,23,99482,4,2,2018,46227
4/28/2019,24,110933,4,2,2019,46227
4/28/1996,1,104600,4,3,1996,46227
4/28/1997,2,88000,4,3,1997,46227
4/28/1998,3,94800,4,3,1998,46227
4/28/1999,4,99800,4,3,1999,46227
4/28/2000,5,89552,4,3,2000,46227
4/28/2001,6,96925,4,3,2001,46227
4/28/2002,7,99407,4,3,2002,46227
4/28/2003,8,99474,4,3,2003,46227
4/28/2004,9,101697,4,3,2004,46227
4/28/2005,10,109195,4,3,2005,46227
4/28/2006,11,112955,4,3,2006,46227
4/28/2007,12,114475,4,3,2007,46227
4/28/2008,13,113818,4,3,2008,46227
4/28/2009,14,108233,4,3,2009,46227
4/28/2010,15,113531,4,3,2010,46227
4/28/2011,16,105544,4,3,2011,46227
4/28/2012,17,104993,4,3,2012,46227
4/28/2013,18,108299,4,3,2013,46227
4/28/2014,19,118268,4,3,2014,46227
4/28/2015,20,118555,4,3,2015,46227
4/28/2016,21,123362,4,3,2016,46227
4/28/2017,22,131723,4,3,2017,46227
4/28/2018,23,143737,4,3,2018,46227
4/28/2019,24,155060,4,3,2019,46227
4/28/1996,1,133000,4,4,1996,46227
4/28/1997,2,122700,4,4,1997,46227
4/28/1998,3,126800,4,4,1998,46227
4/28/1999,4,124800,4,4,1999,46227
4/28/2000,5,106307,4,4,2000,46227
4/28/2001,6,118735,4,4,2001,46227
4/28/2002,7,118497,4,4,2002,46227
4/28/2003,8,118730,4,4,2003,46227
4/28/2004,9,118536,4,4,2004,46227
4/28/2005,10,130112,4,4,2005,46227
4/28/2006,11,132274,4,4,2006,46227
4/28/2007,12,135767,4,4,2007,46227
4/28/2008,13,132520,4,4,2008,46227
4/28/2009,14,128662,4,4,2009,46227
4/28/2010,15,134793,4,4,2010,46227
4/28/2011,16,124367,4,4,2011,46227
4/28/2012,17,124547,4,4,2012,46227
4/28/2013,18,129710,4,4,2013,46227
4/28/2014,19,139871,4,4,2014,46227
4/28/2015,20,137841,4,4,2015,46227
4/28/2016,21,143531,4,4,2016,46227
4/28/2017,22,152874,4,4,2017,46227
4/28/2018,23,164984,4,4,2018,46227
4/28/2019,24,176962,4,4,2019,46227
4/28/2000,5,137176,4,5,2000,46227
4/28/2001,6,142606,4,5,2001,46227
4/28/2002,7,140978,4,5,2002,46227
4/28/2003,8,143157,4,5,2003,46227
4/28/2004,9,144300,4,5,2004,46227
4/28/2005,10,158045,4,5,2005,46227
4/28/2006,11,157304,4,5,2006,46227
4/28/2007,12,162456,4,5,2007,46227
4/28/2008,13,159551,4,5,2008,46227
4/28/2009,14,158785,4,5,2009,46227
4/28/2010,15,162299,4,5,2010,46227
4/28/2011,16,150128,4,5,2011,46227
4/28/2012,17,145953,4,5,2012,46227
4/28/2013,18,151503,4,5,2013,46227
4/28/2014,19,163193,4,5,2014,46227
4/28/2015,20,162753,4,5,2015,46227
4/28/2016,21,165329,4,5,2016,46227
4/28/2017,22,175974,4,5,2017,46227
4/28/2018,23,187644,4,5,2018,46227
4/28/2019,24,200340,4,5,2019,46227
4/28/2011,16,68694,4,1,2011,46214
4/28/2012,17,62465,4,1,2012,46214
4/28/2013,18,60531,4,1,2013,46214
4/28/2014,19,61603,4,1,2014,46214
4/28/2015,20,59298,4,1,2015,46214
4/28/2016,21,59190,4,1,2016,46214
4/28/2017,22,61224,4,1,2017,46214
4/28/2018,23,66942,4,1,2018,46214
4/28/2019,24,77715,4,1,2019,46214
4/28/1996,1,94000,4,2,1996,46214
4/28/1997,2,84300,4,2,1997,46214
4/28/1998,3,83200,4,2,1998,46214
4/28/1999,4,85900,4,2,1999,46214
4/28/2000,5,91064,4,2,2000,46214
4/28/2001,6,92313,4,2,2001,46214
4/28/2002,7,93003,4,2,2002,46214
4/28/2003,8,93560,4,2,2003,46214
4/28/2004,9,96337,4,2,2004,46214
4/28/2005,10,102301,4,2,2005,46214
4/28/2006,11,97903,4,2,2006,46214
4/28/2007,12,97581,4,2,2007,46214
4/28/2008,13,96864,4,2,2008,46214
4/28/2009,14,90124,4,2,2009,46214
4/28/2010,15,91420,4,2,2010,46214
4/28/2011,16,84267,4,2,2011,46214
4/28/2012,17,78523,4,2,2012,46214
4/28/2013,18,77820,4,2,2013,46214
4/28/2014,19,82631,4,2,2014,46214
4/28/2015,20,81249,4,2,2015,46214
4/28/2016,21,82461,4,2,2016,46214
4/28/2017,22,86501,4,2,2017,46214
4/28/2018,23,94781,4,2,2018,46214
4/28/2019,24,106206,4,2,2019,46214
4/28/1996,1,98600,4,3,1996,46214
4/28/1997,2,90700,4,3,1997,46214
4/28/1998,3,91900,4,3,1998,46214
4/28/1999,4,94300,4,3,1999,46214
4/28/2000,5,93383,4,3,2000,46214
4/28/2001,6,98545,4,3,2001,46214
4/28/2002,7,99820,4,3,2002,46214
4/28/2003,8,103835,4,3,2003,46214
4/28/2004,9,106970,4,3,2004,46214
4/28/2005,10,106215,4,3,2005,46214
4/28/2006,11,111208,4,3,2006,46214
4/28/2007,12,112545,4,3,2007,46214
4/28/2008,13,110193,4,3,2008,46214
4/28/2009,14,102161,4,3,2009,46214
4/28/2010,15,109587,4,3,2010,46214
4/28/2011,16,100166,4,3,2011,46214
4/28/2012,17,97455,4,3,2012,46214
4/28/2013,18,98822,4,3,2013,46214
4/28/2014,19,109019,4,3,2014,46214
4/28/2015,20,106677,4,3,2015,46214
4/28/2016,21,112735,4,3,2016,46214
4/28/2017,22,121357,4,3,2017,46214
4/28/2018,23,132334,4,3,2018,46214
4/28/2019,24,146566,4,3,2019,46214
4/28/1996,1,129200,4,4,1996,46214
4/28/1997,2,119400,4,4,1997,46214
4/28/1998,3,122500,4,4,1998,46214
4/28/1999,4,121000,4,4,1999,46214
4/28/2000,5,113187,4,4,2000,46214
4/28/2001,6,112027,4,4,2001,46214
4/28/2002,7,117060,4,4,2002,46214
4/28/2003,8,120661,4,4,2003,46214
4/28/2004,9,123602,4,4,2004,46214
4/28/2005,10,124859,4,4,2005,46214
4/28/2006,11,129329,4,4,2006,46214
4/28/2007,12,131628,4,4,2007,46214
4/28/2008,13,131185,4,4,2008,46214
4/28/2009,14,124793,4,4,2009,46214
4/28/2010,15,132491,4,4,2010,46214
4/28/2011,16,123009,4,4,2011,46214
4/28/2012,17,120117,4,4,2012,46214
4/28/2013,18,122812,4,4,2013,46214
4/28/2014,19,135347,4,4,2014,46214
4/28/2015,20,132192,4,4,2015,46214
4/28/2016,21,137786,4,4,2016,46214
4/28/2017,22,149261,4,4,2017,46214
4/28/2018,23,160435,4,4,2018,46214
4/28/2019,24,174016,4,4,2019,46214
4/28/2000,5,117000,4,5,2000,46214
4/28/2001,6,117879,4,5,2001,46214
4/28/2002,7,123237,4,5,2002,46214
4/28/2003,8,128648,4,5,2003,46214
4/28/2004,9,131594,4,5,2004,46214
4/28/2005,10,140234,4,5,2005,46214
4/28/2006,11,141692,4,5,2006,46214
4/28/2007,12,145916,4,5,2007,46214
4/28/2008,13,146422,4,5,2008,46214
4/28/2009,14,139615,4,5,2009,46214
4/28/2010,15,147092,4,5,2010,46214
4/28/2011,16,132272,4,5,2011,46214
4/28/2012,17,125879,4,5,2012,46214
4/28/2013,18,130231,4,5,2013,46214
4/28/2014,19,142270,4,5,2014,46214
4/28/2015,20,137969,4,5,2015,46214
4/28/2016,21,143485,4,5,2016,46214
4/28/2017,22,157205,4,5,2017,46214
4/28/2018,23,167168,4,5,2018,46214
4/28/2019,24,181662,4,5,2019,46214
5/28/1996,1,113700,5,1,1996,46220
5/28/1997,2,113700,5,1,1997,46220
5/28/1998,3,120800,5,1,1998,46220
5/28/1999,4,121900,5,1,1999,46220
5/28/2000,5,94827,5,1,2000,46220
5/28/2001,6,99211,5,1,2001,46220
5/28/2002,7,101572,5,1,2002,46220
5/28/2003,8,106425,5,1,2003,46220
5/28/2004,9,108998,5,1,2004,46220
5/28/2005,10,114563,5,1,2005,46220
5/28/2006,11,113876,5,1,2006,46220
5/28/2007,12,118286,5,1,2007,46220
5/28/2008,13,117957,5,1,2008,46220
5/28/2009,14,115017,5,1,2009,46220
5/28/2010,15,118394,5,1,2010,46220
5/28/2011,16,107092,5,1,2011,46220
5/28/2012,17,110503,5,1,2012,46220
5/28/2013,18,110199,5,1,2013,46220
5/28/2014,19,130209,5,1,2014,46220
5/28/2015,20,128635,5,1,2015,46220
5/28/2016,21,130926,5,1,2016,46220
5/28/2017,22,145674,5,1,2017,46220
5/28/2018,23,155514,5,1,2018,46220
5/28/2019,24,171884,5,1,2019,46220
5/28/1996,1,116100,5,2,1996,46220
5/28/1997,2,118700,5,2,1997,46220
5/28/1998,3,134300,5,2,1998,46220
5/28/1999,4,133100,5,2,1999,46220
5/28/2000,5,124901,5,2,2000,46220
5/28/2001,6,131168,5,2,2001,46220
5/28/2002,7,134096,5,2,2002,46220
5/28/2003,8,139317,5,2,2003,46220
5/28/2004,9,144471,5,2,2004,46220
5/28/2005,10,146431,5,2,2005,46220
5/28/2006,11,151472,5,2,2006,46220
5/28/2007,12,152313,5,2,2007,46220
5/28/2008,13,152111,5,2,2008,46220
5/28/2009,14,148792,5,2,2009,46220
5/28/2010,15,157307,5,2,2010,46220
5/28/2011,16,146138,5,2,2011,46220
5/28/2012,17,148153,5,2,2012,46220
5/28/2013,18,155123,5,2,2013,46220
5/28/2014,19,169043,5,2,2014,46220
5/28/2015,20,165141,5,2,2015,46220
5/28/2016,21,169463,5,2,2016,46220
5/28/2017,22,185726,5,2,2017,46220
5/28/2018,23,198068,5,2,2018,46220
5/28/2019,24,212483,5,2,2019,46220
5/28/1996,1,134100,5,3,1996,46220
5/28/1997,2,134600,5,3,1997,46220
5/28/1998,3,155600,5,3,1998,46220
5/28/1999,4,145400,5,3,1999,46220
5/28/2000,5,149602,5,3,2000,46220
5/28/2001,6,152030,5,3,2001,46220
5/28/2002,7,156002,5,3,2002,46220
5/28/2003,8,160486,5,3,2003,46220
5/28/2004,9,165894,5,3,2004,46220
5/28/2005,10,168997,5,3,2005,46220
5/28/2006,11,169480,5,3,2006,46220
5/28/2007,12,171968,5,3,2007,46220
5/28/2008,13,175038,5,3,2008,46220
5/28/2009,14,168980,5,3,2009,46220
5/28/2010,15,177941,5,3,2010,46220
5/28/2011,16,165630,5,3,2011,46220
5/28/2012,17,169430,5,3,2012,46220
5/28/2013,18,175868,5,3,2013,46220
5/28/2014,19,192362,5,3,2014,46220
5/28/2015,20,187058,5,3,2015,46220
5/28/2016,21,191647,5,3,2016,46220
5/28/2017,22,210553,5,3,2017,46220
5/28/2018,23,223640,5,3,2018,46220
5/28/2019,24,239383,5,3,2019,46220
5/28/1996,1,163100,5,4,1996,46220
5/28/1997,2,173500,5,4,1997,46220
5/28/1998,3,188400,5,4,1998,46220
5/28/1999,4,199000,5,4,1999,46220
5/28/2000,5,216816,5,4,2000,46220
5/28/2001,6,226846,5,4,2001,46220
5/28/2002,7,224703,5,4,2002,46220
5/28/2003,8,230068,5,4,2003,46220
5/28/2004,9,237735,5,4,2004,46220
5/28/2005,10,246555,5,4,2005,46220
5/28/2006,11,247428,5,4,2006,46220
5/28/2007,12,253666,5,4,2007,46220
5/28/2008,13,254139,5,4,2008,46220
5/28/2009,14,245464,5,4,2009,46220
5/28/2010,15,254577,5,4,2010,46220
5/28/2011,16,233209,5,4,2011,46220
5/28/2012,17,240489,5,4,2012,46220
5/28/2013,18,249676,5,4,2013,46220
5/28/2014,19,279312,5,4,2014,46220
5/28/2015,20,279008,5,4,2015,46220
5/28/2016,21,282468,5,4,2016,46220
5/28/2017,22,303210,5,4,2017,46220
5/28/2018,23,316901,5,4,2018,46220
5/28/2019,24,331883,5,4,2019,46220
5/28/1996,1,237400,5,5,1996,46220
5/28/1997,2,261400,5,5,1997,46220
5/28/1998,3,288900,5,5,1998,46220
5/28/1999,4,292400,5,5,1999,46220
5/28/2000,5,265559,5,5,2000,46220
5/28/2001,6,284868,5,5,2001,46220
5/28/2002,7,276701,5,5,2002,46220
5/28/2003,8,285756,5,5,2003,46220
5/28/2004,9,302508,5,5,2004,46220
5/28/2005,10,333893,5,5,2005,46220
5/28/2006,11,330477,5,5,2006,46220
5/28/2007,12,347398,5,5,2007,46220
5/28/2008,13,345913,5,5,2008,46220
5/28/2009,14,333984,5,5,2009,46220
5/28/2010,15,358203,5,5,2010,46220
5/28/2011,16,328089,5,5,2011,46220
5/28/2012,17,338744,5,5,2012,46220
5/28/2013,18,355845,5,5,2013,46220
5/28/2014,19,396364,5,5,2014,46220
5/28/2015,20,399225,5,5,2015,46220
5/28/2016,21,397899,5,5,2016,46220
5/28/2017,22,423055,5,5,2017,46220
5/28/2018,23,448653,5,5,2018,46220
5/28/2019,24,466957,5,5,2019,46220
5/28/2000,5,56813,5,1,2000,46219
5/28/2001,6,57090,5,1,2001,46219
5/28/2002,7,58828,5,1,2002,46219
5/28/2003,8,57427,5,1,2003,46219
5/28/2004,9,55778,5,1,2004,46219
5/28/2005,10,59665,5,1,2005,46219
5/28/2006,11,62586,5,1,2006,46219
5/28/2007,12,58175,5,1,2007,46219
5/28/2008,13,59893,5,1,2008,46219
5/28/2009,14,53892,5,1,2009,46219
5/28/2010,15,54773,5,1,2010,46219
5/28/2011,16,45220,5,1,2011,46219
5/28/2012,17,42863,5,1,2012,46219
5/28/2013,18,43177,5,1,2013,46219
5/28/2014,19,49330,5,1,2014,46219
5/28/2015,20,49968,5,1,2015,46219
5/28/2016,21,51265,5,1,2016,46219
5/28/2017,22,57759,5,1,2017,46219
5/28/2018,23,65366,5,1,2018,46219
5/28/2019,24,76049,5,1,2019,46219
5/28/1996,1,92400,5,2,1996,46219
5/28/1997,2,74500,5,2,1997,46219
5/28/1998,3,79000,5,2,1998,46219
5/28/1999,4,84900,5,2,1999,46219
5/28/2000,5,71405,5,2,2000,46219
5/28/2001,6,74174,5,2,2001,46219
5/28/2002,7,76335,5,2,2002,46219
5/28/2003,8,74577,5,2,2003,46219
5/28/2004,9,74452,5,2,2004,46219
5/28/2005,10,79886,5,2,2005,46219
5/28/2006,11,79662,5,2,2006,46219
5/28/2007,12,80201,5,2,2007,46219
5/28/2008,13,79206,5,2,2008,46219
5/28/2009,14,72456,5,2,2009,46219
5/28/2010,15,73969,5,2,2010,46219
5/28/2011,16,61323,5,2,2011,46219
5/28/2012,17,56281,5,2,2012,46219
5/28/2013,18,59084,5,2,2013,46219
5/28/2014,19,66590,5,2,2014,46219
5/28/2015,20,66762,5,2,2015,46219
5/28/2016,21,69556,5,2,2016,46219
5/28/2017,22,76435,5,2,2017,46219
5/28/2018,23,83289,5,2,2018,46219
5/28/2019,24,95966,5,2,2019,46219
5/28/1996,1,100000,5,3,1996,46219
5/28/1997,2,83800,5,3,1997,46219
5/28/1998,3,85600,5,3,1998,46219
5/28/1999,4,92500,5,3,1999,46219
5/28/2000,5,74920,5,3,2000,46219
5/28/2001,6,79182,5,3,2001,46219
5/28/2002,7,81867,5,3,2002,46219
5/28/2003,8,81353,5,3,2003,46219
5/28/2004,9,82883,5,3,2004,46219
5/28/2005,10,87472,5,3,2005,46219
5/28/2006,11,90405,5,3,2006,46219
5/28/2007,12,91679,5,3,2007,46219
5/28/2008,13,89355,5,3,2008,46219
5/28/2009,14,82425,5,3,2009,46219
5/28/2010,15,86036,5,3,2010,46219
5/28/2011,16,77511,5,3,2011,46219
5/28/2012,17,75192,5,3,2012,46219
5/28/2013,18,77161,5,3,2013,46219
5/28/2014,19,85077,5,3,2014,46219
5/28/2015,20,85854,5,3,2015,46219
5/28/2016,21,90028,5,3,2016,46219
5/28/2017,22,98900,5,3,2017,46219
5/28/2018,23,109051,5,3,2018,46219
5/28/2019,24,121703,5,3,2019,46219
5/28/1996,1,123900,5,4,1996,46219
5/28/1997,2,114700,5,4,1997,46219
5/28/1998,3,115400,5,4,1998,46219
5/28/1999,4,111200,5,4,1999,46219
5/28/2000,5,87479,5,4,2000,46219
5/28/2001,6,96155,5,4,2001,46219
5/28/2002,7,99935,5,4,2002,46219
5/28/2003,8,98550,5,4,2003,46219
5/28/2004,9,100876,5,4,2004,46219
5/28/2005,10,108399,5,4,2005,46219
5/28/2006,11,114201,5,4,2006,46219
5/28/2007,12,116776,5,4,2007,46219
5/28/2008,13,115402,5,4,2008,46219
5/28/2009,14,108906,5,4,2009,46219
5/28/2010,15,113565,5,4,2010,46219
5/28/2011,16,103357,5,4,2011,46219
5/28/2012,17,101030,5,4,2012,46219
5/28/2013,18,105813,5,4,2013,46219
5/28/2014,19,115929,5,4,2014,46219
5/28/2015,20,114530,5,4,2015,46219
5/28/2016,21,119914,5,4,2016,46219
5/28/2017,22,130445,5,4,2017,46219
5/28/2018,23,140520,5,4,2018,46219
5/28/2019,24,154445,5,4,2019,46219
5/28/2000,5,109028,5,5,2000,46219
5/28/2001,6,114812,5,5,2001,46219
5/28/2002,7,115474,5,5,2002,46219
5/28/2003,8,113314,5,5,2003,46219
5/28/2004,9,113727,5,5,2004,46219
5/28/2005,10,125195,5,5,2005,46219
5/28/2006,11,122078,5,5,2006,46219
5/28/2007,12,124259,5,5,2007,46219
5/28/2008,13,124341,5,5,2008,46219
5/28/2009,14,117459,5,5,2009,46219
5/28/2010,15,124241,5,5,2010,46219
5/28/2011,16,116047,5,5,2011,46219
5/28/2012,17,114691,5,5,2012,46219
5/28/2013,18,121974,5,5,2013,46219
5/28/2014,19,137051,5,5,2014,46219
5/28/2015,20,134898,5,5,2015,46219
5/28/2016,21,137077,5,5,2016,46219
5/28/2017,22,154459,5,5,2017,46219
5/28/2018,23,162837,5,5,2018,46219
5/28/2019,24,179696,5,5,2019,46219
5/28/1996,1,79100,5,1,1996,46227
5/28/1997,2,68600,5,1,1997,46227
5/28/1998,3,67500,5,1,1998,46227
5/28/1999,4,66800,5,1,1999,46227
5/28/2000,5,51356,5,1,2000,46227
5/28/2001,6,50783,5,1,2001,46227
5/28/2002,7,51826,5,1,2002,46227
5/28/2003,8,52227,5,1,2003,46227
5/28/2004,9,56018,5,1,2004,46227
5/28/2005,10,58691,5,1,2005,46227
5/28/2006,11,61620,5,1,2006,46227
5/28/2007,12,61223,5,1,2007,46227
5/28/2008,13,62451,5,1,2008,46227
5/28/2009,14,58235,5,1,2009,46227
5/28/2010,15,64521,5,1,2010,46227
5/28/2011,16,57683,5,1,2011,46227
5/28/2012,17,55031,5,1,2012,46227
5/28/2013,18,51741,5,1,2013,46227
5/28/2014,19,60423,5,1,2014,46227
5/28/2015,20,65878,5,1,2015,46227
5/28/2016,21,65615,5,1,2016,46227
5/28/2017,22,72722,5,1,2017,46227
5/28/2018,23,79485,5,1,2018,46227
5/28/2019,24,89509,5,1,2019,46227
5/28/1996,1,85300,5,2,1996,46227
5/28/1997,2,73500,5,2,1997,46227
5/28/1998,3,74800,5,2,1998,46227
5/28/1999,4,76500,5,2,1999,46227
5/28/2000,5,66157,5,2,2000,46227
5/28/2001,6,72362,5,2,2001,46227
5/28/2002,7,74972,5,2,2002,46227
5/28/2003,8,73648,5,2,2003,46227
5/28/2004,9,72739,5,2,2004,46227
5/28/2005,10,77116,5,2,2005,46227
5/28/2006,11,79586,5,2,2006,46227
5/28/2007,12,81319,5,2,2007,46227
5/28/2008,13,82832,5,2,2008,46227
5/28/2009,14,79647,5,2,2009,46227
5/28/2010,15,83668,5,2,2010,46227
5/28/2011,16,73861,5,2,2011,46227
5/28/2012,17,74007,5,2,2012,46227
5/28/2013,18,72752,5,2,2013,46227
5/28/2014,19,79395,5,2,2014,46227
5/28/2015,20,82409,5,2,2015,46227
5/28/2016,21,83267,5,2,2016,46227
5/28/2017,22,92268,5,2,2017,46227
5/28/2018,23,100805,5,2,2018,46227
5/28/2019,24,111430,5,2,2019,46227
5/28/1996,1,102300,5,3,1996,46227
5/28/1997,2,88200,5,3,1997,46227
5/28/1998,3,96000,5,3,1998,46227
5/28/1999,4,98800,5,3,1999,46227
5/28/2000,5,90421,5,3,2000,46227
5/28/2001,6,97764,5,3,2001,46227
5/28/2002,7,99300,5,3,2002,46227
5/28/2003,8,99791,5,3,2003,46227
5/28/2004,9,101774,5,3,2004,46227
5/28/2005,10,110506,5,3,2005,46227
5/28/2006,11,112891,5,3,2006,46227
5/28/2007,12,113808,5,3,2007,46227
5/28/2008,13,113766,5,3,2008,46227
5/28/2009,14,108657,5,3,2009,46227
5/28/2010,15,113429,5,3,2010,46227
5/28/2011,16,104015,5,3,2011,46227
5/28/2012,17,106172,5,3,2012,46227
5/28/2013,18,109160,5,3,2013,46227
5/28/2014,19,118276,5,3,2014,46227
5/28/2015,20,118946,5,3,2015,46227
5/28/2016,21,123249,5,3,2016,46227
5/28/2017,22,133182,5,3,2017,46227
5/28/2018,23,145093,5,3,2018,46227
5/28/2019,24,155858,5,3,2019,46227
5/28/1996,1,131700,5,4,1996,46227
5/28/1997,2,122700,5,4,1997,46227
5/28/1998,3,127300,5,4,1998,46227
5/28/1999,4,124200,5,4,1999,46227
5/28/2000,5,106624,5,4,2000,46227
5/28/2001,6,119555,5,4,2001,46227
5/28/2002,7,118388,5,4,2002,46227
5/28/2003,8,119118,5,4,2003,46227
5/28/2004,9,118446,5,4,2004,46227
5/28/2005,10,131858,5,4,2005,46227
5/28/2006,11,132314,5,4,2006,46227
5/28/2007,12,134799,5,4,2007,46227
5/28/2008,13,132510,5,4,2008,46227
5/28/2009,14,129344,5,4,2009,46227
5/28/2010,15,134353,5,4,2010,46227
5/28/2011,16,122944,5,4,2011,46227
5/28/2012,17,126072,5,4,2012,46227
5/28/2013,18,130281,5,4,2013,46227
5/28/2014,19,139827,5,4,2014,46227
5/28/2015,20,138364,5,4,2015,46227
5/28/2016,21,143286,5,4,2016,46227
5/28/2017,22,154391,5,4,2017,46227
5/28/2018,23,166717,5,4,2018,46227
5/28/2019,24,177644,5,4,2019,46227
5/28/2000,5,137107,5,5,2000,46227
5/28/2001,6,143341,5,5,2001,46227
5/28/2002,7,140448,5,5,2002,46227
5/28/2003,8,144448,5,5,2003,46227
5/28/2004,9,144285,5,5,2004,46227
5/28/2005,10,159769,5,5,2005,46227
5/28/2006,11,157389,5,5,2006,46227
5/28/2007,12,161340,5,5,2007,46227
5/28/2008,13,160455,5,5,2008,46227
5/28/2009,14,158756,5,5,2009,46227
5/28/2010,15,162196,5,5,2010,46227
5/28/2011,16,147738,5,5,2011,46227
5/28/2012,17,147784,5,5,2012,46227
5/28/2013,18,152155,5,5,2013,46227
5/28/2014,19,163516,5,5,2014,46227
5/28/2015,20,162793,5,5,2015,46227
5/28/2016,21,164812,5,5,2016,46227
5/28/2017,22,177815,5,5,2017,46227
5/28/2018,23,189687,5,5,2018,46227
5/28/2019,24,200849,5,5,2019,46227
5/28/2011,16,67721,5,1,2011,46214
5/28/2012,17,62049,5,1,2012,46214
5/28/2013,18,60014,5,1,2013,46214
5/28/2014,19,62354,5,1,2014,46214
5/28/2015,20,59140,5,1,2015,46214
5/28/2016,21,58707,5,1,2016,46214
5/28/2017,22,62079,5,1,2017,46214
5/28/2018,23,67590,5,1,2018,46214
5/28/2019,24,79324,5,1,2019,46214
5/28/1996,1,92900,5,2,1996,46214
5/28/1997,2,83900,5,2,1997,46214
5/28/1998,3,83400,5,2,1998,46214
5/28/1999,4,86300,5,2,1999,46214
5/28/2000,5,90449,5,2,2000,46214
5/28/2001,6,93201,5,2,2001,46214
5/28/2002,7,93144,5,2,2002,46214
5/28/2003,8,93988,5,2,2003,46214
5/28/2004,9,96951,5,2,2004,46214
5/28/2005,10,101430,5,2,2005,46214
5/28/2006,11,98171,5,2,2006,46214
5/28/2007,12,97196,5,2,2007,46214
5/28/2008,13,96517,5,2,2008,46214
5/28/2009,14,90592,5,2,2009,46214
5/28/2010,15,91222,5,2,2010,46214
5/28/2011,16,82752,5,2,2011,46214
5/28/2012,17,78817,5,2,2012,46214
5/28/2013,18,77901,5,2,2013,46214
5/28/2014,19,82957,5,2,2014,46214
5/28/2015,20,81681,5,2,2015,46214
5/28/2016,21,81705,5,2,2016,46214
5/28/2017,22,87463,5,2,2017,46214
5/28/2018,23,95695,5,2,2018,46214
5/28/2019,24,107108,5,2,2019,46214
5/28/1996,1,97600,5,3,1996,46214
5/28/1997,2,90600,5,3,1997,46214
5/28/1998,3,92100,5,3,1998,46214
5/28/1999,4,94700,5,3,1999,46214
5/28/2000,5,94550,5,3,2000,46214
5/28/2001,6,98828,5,3,2001,46214
5/28/2002,7,100204,5,3,2002,46214
5/28/2003,8,104234,5,3,2003,46214
5/28/2004,9,107031,5,3,2004,46214
5/28/2005,10,106579,5,3,2005,46214
5/28/2006,11,111216,5,3,2006,46214
5/28/2007,12,112277,5,3,2007,46214
5/28/2008,13,109801,5,3,2008,46214
5/28/2009,14,102892,5,3,2009,46214
5/28/2010,15,109419,5,3,2010,46214
5/28/2011,16,98510,5,3,2011,46214
5/28/2012,17,98059,5,3,2012,46214
5/28/2013,18,99628,5,3,2013,46214
5/28/2014,19,109120,5,3,2014,46214
5/28/2015,20,107222,5,3,2015,46214
5/28/2016,21,112367,5,3,2016,46214
5/28/2017,22,122750,5,3,2017,46214
5/28/2018,23,133819,5,3,2018,46214
5/28/2019,24,147564,5,3,2019,46214
5/28/1996,1,127900,5,4,1996,46214
5/28/1997,2,119400,5,4,1997,46214
5/28/1998,3,122800,5,4,1998,46214
5/28/1999,4,120500,5,4,1999,46214
5/28/2000,5,111846,5,4,2000,46214
5/28/2001,6,112523,5,4,2001,46214
5/28/2002,7,117479,5,4,2002,46214
5/28/2003,8,121053,5,4,2003,46214
5/28/2004,9,123853,5,4,2004,46214
5/28/2005,10,125116,5,4,2005,46214
5/28/2006,11,129916,5,4,2006,46214
5/28/2007,12,131083,5,4,2007,46214
5/28/2008,13,130900,5,4,2008,46214
5/28/2009,14,125570,5,4,2009,46214
5/28/2010,15,132139,5,4,2010,46214
5/28/2011,16,121496,5,4,2011,46214
5/28/2012,17,121121,5,4,2012,46214
5/28/2013,18,123818,5,4,2013,46214
5/28/2014,19,134952,5,4,2014,46214
5/28/2015,20,132896,5,4,2015,46214
5/28/2016,21,137458,5,4,2016,46214
5/28/2017,22,150965,5,4,2017,46214
5/28/2018,23,161889,5,4,2018,46214
5/28/2019,24,175034,5,4,2019,46214
