,Integer_Year,46214,46219,46220,46227,1 Bedroom,2 Bedroom,3 Bedroom,4 Bedroom,5 Bedroom,April,August,December,February,January,July,June,March,May,November,October,September,Median Bedroom Price
60,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77434.76
61,25,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100065.75
62,25,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129066.484
63,25,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,162463.2
64,25,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,190034.64
65,25,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83216.98
66,25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103585.086
67,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,131940.25
68,25,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,163284.67
69,25,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,191619.3
70,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76316.35
71,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100492.29
72,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,130494.53
73,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,162954.98
74,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,194534.19
75,25,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80658.414
76,25,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104967.04
77,25,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,133903.56
78,25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,163878.42
79,25,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,194853.58
80,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78310.42
81,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101079.305
82,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,132551.03
83,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,166046.64
84,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,195713.42
85,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85405.164
86,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105651.234
87,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,136616.56
88,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,166152.61
89,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,198579.67
90,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84564.76
91,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,104442.945
92,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,135117.55
93,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,165175.81
94,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,197297.67
95,25,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87498.87
96,25,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,109312.04
97,25,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140249.33
98,25,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,170108.34
99,25,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,202048.36
100,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78881.27
101,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106223.36
102,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137336.17
103,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,169932.88
104,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,201261.75
105,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86635.7
106,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110173.914
107,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,138976.03
108,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,171947.02
109,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,203488.3
110,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,84822.43
111,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109592.26
112,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,140294.78
113,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,172137.45
114,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,203098.69
115,25,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85857.74
116,25,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110289.85
117,25,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139958.64
118,25,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,174355.52
